nm_ins;descr;evid_clas_cat;categ;evid_territ;territ;evid_gr_impl;gr_impl;evid_res;res;evid_part_cid;tp_part_cidada;evid_coprod;coprod_cid;evid_orq_mult_IA;uso_evid_orq_mult_IA;autor;ano;titulo;referencia;_timestamp;input_prompt;input_document_text;input_document_size;_run;_error;_raw
Digital Transformation Strategy of the Kyrgyz Republic;A government policy aimed at digitalizing public administration, expanding electronic services, and creating an inclusive technological environment through strategic planning and infrastructure development.;Today, digital transformation in the Kyrgyz Republic is becoming a key area of government policy, particularly in light of the rapid growth in demand for electronic services and inclusive technological solutions.;"Governança Digital; Governo Digital Proativo; Evolução de leis e normas";in the Kyrgyz Republic;Kyrgyz Republic;;implementado em produção;"65% of households had access to fixed Internet in 2024; development of electronic government services; expansion of fintech solutions.";"Improved access to digital services and infrastructure; creation of public value through modernization of state administration; identified regional disparities (91% in Bishkek vs 47% in Batken).";incorporating ... a mass survey (N = 1102 respondents) and 18 in-depth interviews with representatives of government agencies, businesses, and NGOs.;coletiva;The study utilized a mass survey and in-depth interviews to identify barriers and drivers, facilitating policy feedback.;Cidadãos e partes interessadas participam através de pesquisas de opinião e entrevistas em profundidade para informar o desenvolvimento de políticas digitais.;;nenhum;Nurgul M. Akimova;2025;Digital Transformation and E-Service Development in the Kyrgyz Republic;Akimova, N.M. (2025). Digital Transformation and E-Service Development in the Kyrgyz Republic. Economy: strategy and practice, 20(2), 54-68, https://doi.org/10.51176/1997-9967-2025-2-54-68;2,02605E+13;New Prompt;Akimova - 2025 - Digital Transformation and E-Service Development in the Kyrgyz Republic.pdf_part_000;12000;gemini-3.1-flash-lite-preview;;
Түндүк;Система межведомственного электронного взаимодействия.;система межведомственного электронного взаимодействия «Түндүк»;"Governança Digital; Automatização e IA";Государственная политика в сфере цифровой трансформации в Кыргызской Республике;Кыргызская Республика;;implementado em produção;автоматизировать государственные сервисы и обеспечить их прозрачность;Automatização de serviços públicos e aumento da transparência administrativa.;nenhum;nenhum;nenhum;nenhum;nenhum;nenhum;Cabinet of Ministers of the Kyrgyz Republic;2025;Экономика: стратегия и практика;Cabinet of Ministers of the Kyrgyz Republic. (2025). Экономика: стратегия и практика. Vol. 20. No 2.;2,02605E+13;New Prompt;Akimova - 2025 - Digital Transformation and E-Service Development in the Kyrgyz Republic.pdf_part_001;12000;gemini-3.1-flash-lite-preview;;
Билим, Күндөлүк, Санарип Кампа;Образовательные платформы для цифровизации образования.;внедрением образовательных платформ («Билим», «Күндөлүк», «Санарип Кампа»);"Governança Digital; Cidadania Digital";Министерство образования и науки КР;Кыргызская Республика;;implementado em produção;Цифровизация отдельных отраслей представлена внедрением образовательных платформ;Digitalização do setor educacional, facilitando o acesso a sistemas de ensino e gestão escolar.;nenhum;individual;nenhum;nenhum;nenhum;nenhum;Ministry of Education and Science of the Kyrgyz Republic;2025;Экономика: стратегия и практика;Ministry of Education and Science of the Kyrgyz Republic. (2025). Экономика: стратегия и практика. Vol. 20. No 2.;2,02605E+13;New Prompt;Akimova - 2025 - Digital Transformation and E-Service Development in the Kyrgyz Republic.pdf_part_001;12000;gemini-3.1-flash-lite-preview;;
X-Road;Платформа для автоматизации государственных сервисов и обеспечения их прозрачности.;где платформа X-Road позволила автоматизировать государственные сервисы и обеспечить их прозрачность;"Governança Digital; Coprodução de Valor Público";мировой опыт;Internacional;;implementado com resultados de coprodução ou impacto de valor público;позволила автоматизировать государственные сервисы и обеспечить их прозрачность;Redução da burocracia, automação de serviços estatais e aumento da transparência institucional.;nenhum;nenhum;nenhum;nenhum;nenhum;nenhum;Desconhecido;2025;Экономика: стратегия и практика;Экономика: стратегия и практика. Т. 20, № 2, 2025.;2,02605E+13;New Prompt;Akimova - 2025 - Digital Transformation and E-Service Development in the Kyrgyz Republic.pdf_part_001;12000;gemini-3.1-flash-lite-preview;;
Sistemas de Governo Eletrônico (e-Gov) e Plataformas em Nuvem;Implementação de serviços estatais online, automação de solicitações e substituição de processos físicos por digitais.;“vários de nossos entrevistados notaram que a introdução de serviços governamentais digitais e plataformas em nuvem simplificou significativamente os procedimentos administrativos.”;"Automatização e IA; Canal inteligente de serviços; Governança Digital";“indicam o desenvolvimento progressivo da infraestrutura digital na República do Quirguistão nos últimos anos.”;país;;implementado em produção;“Agora não perdemos tanto tempo com certificados em papel – a maioria das solicitações é enviada online.” (81% dos moradores de Bishkek usam serviços estatais eletrônicos).;Aumento da eficiência administrativa e economia de tempo para cidadãos. Criação de valor público pela desburocratização e conveniência do acesso remoto.;“81% dos moradores de Bishkek utilizam regularmente os serviços governamentais eletrônicos.”;individual;“A maioria das solicitações é enviada online” — o cidadão atua na submissão direta de dados, coprodutivamente eliminando o trâmite de papel.;O cidadão interage com a plataforma para submeter solicitações e requisições, eliminando a necessidade de intermediação física por burocratas.;Nenhum.;nenhum;Autor não especificado;2025;Economia: estratégia e prática;Autor. (2025). Economia: estratégia e prática. Vol. 20. No 2, 2025. Bishkek.;2,02605E+13;New Prompt;Akimova - 2025 - Digital Transformation and E-Service Development in the Kyrgyz Republic.pdf_part_002;12000;gemini-3.1-flash-lite-preview;;
Programas de Alfabetização Digital;Iniciativas educacionais para capacitação de cidadãos em competências digitais, visando a inclusão de idosos e populações periféricas.;“residentes da periferia têm dificuldade em dominar novos serviços — eles precisam de suporte e treinamento.”;"Cidadania Digital; Governo Digital Proativo";“necessidade de uma política digital regionalmente orientada.”;país;;proposto;“tais tendências indicam a necessidade de adaptar os programas digitais e serviços levando em consideração as categorias etárias dos cidadãos.”;Resultados projetados: redução do gap digital e aumento do valor público através da equidade no acesso aos serviços digitais para grupos vulneráveis.;“O nível de alfabetização digital entre cidadãos com mais de 60 anos foi de apenas 44%.”;coletiva;Necessidade de design centrado no usuário onde o cidadão participe da construção das interfaces para maior inclusão.;Participação em programas de treinamento e suporte para usuabilidade de serviços digitais.;Nenhum.;nenhum;Autor não especificado;2025;Economia: estratégia e prática;Autor. (2025). Economia: estratégia e prática. Vol. 20. No 2, 2025. Bishkek.;2,02605E+13;New Prompt;Akimova - 2025 - Digital Transformation and E-Service Development in the Kyrgyz Republic.pdf_part_002;12000;gemini-3.1-flash-lite-preview;;
Tүндүк;Платформа для межведомственного электронного взаимодействия и предоставления государственных услуг.;Внедрение таких платформ, как «Түндүк»... демонстрирует высокую эффективность в части снижения транзакционных издержек и повышения прозрачности процессов управления.;"Coprodução de Valor Público; Governança Digital";Результаты комплексного исследования демонстрируют, что динамика цифровизации в Кыргызстане...;страна;Внедрение таких платформ, как «Түндүк»... уже демонстрирует высокую эффективность;implementado em produção;Внедрение таких платформ, как «Түндүк»... уже демонстрирует высокую эффективность в части снижения транзакционных издержек и повышения прозрачности процессов управления.;Снижение транзакционных издержек и повышение прозрачности государственного управления, создание ценности через интеграцию ведомств.;анализ... массового опроса населения и глубинных интервью с ключевыми стейкхолдерами.;индивидуальная;результаты комплексного исследования демонстрируют, что динамика цифровизации... опирается... на глубинные процессы социальной адаптации;Граждане участвуют через использование электронных государственных услуг и обратную связь, способствуя адаптации сервисов.;ни в тексте, ни в контексте нет упоминания оркестрации мультиагентных систем ИИ.;nenhum;не указан;2025;Экономика: стратегия и практика;Экономика: стратегия и практика. Т. 20, № 2, 2025;2,02605E+13;New Prompt;Akimova - 2025 - Digital Transformation and E-Service Development in the Kyrgyz Republic.pdf_part_003;12000;gemini-3.1-flash-lite-preview;;
G-Cloud;Государственные облачные сервисы для цифровизации инфраструктуры.;запуск государственных облачных сервисов... показал высокую эффективность в части сокращения транзакционных издержек;"Governança Digital; Canal inteligente de serviços";Результаты комплексного исследования демонстрируют, что динамика цифровизации в Кыргызстане...;страна;запуск государственных облачных сервисов... показал высокую эффективность;implementado em produção;высокую эффективность в части сокращения транзакционных издержек и повышения прозрачности;Сокращение транзакционных издержек и повышение прозрачности управления за счет облачной инфраструктуры.;массового опроса населения и глубинных интервью;индивидуальная;требуют системной оценки их устойчивости, обеспечения совместимости с частными цифровыми сервисами;Взаимодействие через интеграцию с частными цифровыми сервисами субъектов малого и среднего предпринимательства.;ни в тексте, ни в контексте нет упоминания оркестрации мультиагентных систем ИИ.;nenhum;не указан;2025;Экономика: стратегия и практика;Экономика: стратегия и практика. Т. 20, № 2, 2025;2,02605E+13;New Prompt;Akimova - 2025 - Digital Transformation and E-Service Development in the Kyrgyz Republic.pdf_part_003;12000;gemini-3.1-flash-lite-preview;;
Higher Education and Innovation Program;Program aimed at the development and digitalization of the higher education sector.;Report on the implementation of the Higher Education and Innovation Program.;"Governança Digital; Evolução de leis e normas";Ministry of Education and Science of the Kyrgyz Republic.;país;Report on the implementation of the Higher Education and Innovation Program.;implementado em produção;Report on the implementation of the Higher Education and Innovation Program.;Implementação e desenvolvimento de políticas educacionais de inovação e digitalização no setor de ensino superior.;nenhum;nenhum;nenhum;nenhum;nenhum;nenhum;Ministry of Education and Science of the Kyrgyz Republic;2024;Report on the implementation of the Higher Education and Innovation Program;Ministry of Education and Science of the Kyrgyz Republic. (2024). Report on the implementation of the Higher Education and Innovation Program. Retrieved May 30, 2025 from https://edu.gov.kg;2,02605E+13;New Prompt;Akimova - 2025 - Digital Transformation and E-Service Development in the Kyrgyz Republic.pdf_part_004;2953;gemini-3.1-flash-lite-preview;;
Integrated Digital Medical Card (IDMC);Digitalization of patient medical records to enhance health system efficiency.;Implementation of the Integrated Digital Medical Card (IDMC).;"Governo Digital Proativo; Canal inteligente de serviços";Ministry of Health of the Kyrgyz Republic.;país;Implementation of the Integrated Digital Medical Card (IDMC).;implementado em produção;Implementation of the Integrated Digital Medical Card (IDMC).;Criação de valor público através da integração de dados de saúde e eficiência no atendimento médico digital.;nenhum;nenhum;nenhum;nenhum;nenhum;nenhum;Ministry of Health of the Kyrgyz Republic;2024;Implementation of the Integrated Digital Medical Card (IDMC);Ministry of Health of the Kyrgyz Republic. (2024). Implementation of the Integrated Digital Medical Card (IDMC). Retrieved May 30, 2025 from https://med.kg;2,02605E+13;New Prompt;Akimova - 2025 - Digital Transformation and E-Service Development in the Kyrgyz Republic.pdf_part_004;2953;gemini-3.1-flash-lite-preview;;
Action plan for digital transformation implementation;Strategic roadmap for the digital governance and transformation of Kyrgyzstan.;Action plan for digital transformation implementation.;"Governança Digital; Evolução de leis e normas";President of the Kyrgyz Republic.;país;Action plan for digital transformation implementation.;proposto;Action plan for digital transformation implementation.;Direcionamento estratégico para a transformação digital estatal.;nenhum;nenhum;nenhum;nenhum;nenhum;nenhum;President of the Kyrgyz Republic;2024;Action plan for digital transformation implementation;President of the Kyrgyz Republic. (2024). Action plan for digital transformation implementation. Retrieved May 30, 2025 from https://www.president.kg;2,02605E+13;New Prompt;Akimova - 2025 - Digital Transformation and E-Service Development in the Kyrgyz Republic.pdf_part_004;2953;gemini-3.1-flash-lite-preview;;
Digital Technology Integration Framework (DTIF);A multidimensional framework that addresses three dimensions (quantity, focus, and mode) to evaluate the impact of digital technologies on pedagogical practices and the learning context in schools.;DTIF is a multidimensional framework that considers not only the instrumental characteristics of technologies, but also their impact on pedagogical practices and the context of learning.;"Governança Digital; Evolução de leis e normas";Drawing on data from the Bulgarian SUMMIT project on digital transformation in education;Bulgária;The study employed a mixed-methods design combining semi-structured interviews, structured lesson observations, and analysis of teaching materials. The sample included 44 teachers from 26 Bulgarian schools;implementado em produção;The findings indicated a strong degree of consistency between teachers’ accounts and observed practices in areas such as the use of digital tools for content visualisation, lesson enrichment, and reinforcement of knowledge.;The framework successfully identifies gaps between teachers’ aspirations and classroom realities, specifically that while digital tools are increasingly present, they are often used for traditional support rather than transformative practices.;none;nenhum;none;nenhum;none;nenhum;Lyubka Aleksieva, Veronica Racheva, Roumiana Peytcheva-Forsyth;2025;Talking Tech, Teaching with Tech: How Primary Teachers Implement Digital Technologies in Practice;"ALEKSIEVA, L.; RACHEVA, V.; PEYTCHEVA-FORSYTH, R. Talking Tech, Teaching with Tech: How Primary Teachers Implement Digital Technologies in Practice. Informatics, Basel, v. 12, n. 3, 99, 2025.";2,02605E+13;New Prompt;Aleksieva et al. - 2025 - Talking Tech, Teaching with Tech How Primary Teachers Implement Digital Technologies in Practice.pdf_part_000;12000;gemini-3.1-flash-lite-preview;;
SUMMIT project (Sofia University Marking Momentum for Innovation and Technological Transfer);A research project aimed at digital transformation in education, providing data on teacher competencies, pedagogical intent, and the integration of digital infrastructure in schools.;This study, conducted within the framework of the Sofia University Marking Momentum for Innovation and Technological Transfer (SUMMIT) project... adopts a practical perspective by exploring how primary teachers implement digital technologies;Governança Digital;Bulgarian SUMMIT project on digital transformation in education;Bulgária;The sample included 44 teachers from 26 Bulgarian schools, representing a range of educational contexts.;implementado com resultados de coprodução ou impacto de valor público;The findings draw attention to context-specific challenges in the Bulgarian primary education system and the importance of aligning digital innovation with pedagogical intent.;The project highlighted the need for sustained professional development focused on learner-centred digital pedagogies, stronger institutional support, and equitable access to infrastructure.;none;nenhum;none;nenhum;none;nenhum;Lyubka Aleksieva, Veronica Racheva, Roumiana Peytcheva-Forsyth;2025;Talking Tech, Teaching with Tech: How Primary Teachers Implement Digital Technologies in Practice;"ALEKSIEVA, L.; RACHEVA, V.; PEYTCHEVA-FORSYTH, R. Talking Tech, Teaching with Tech: How Primary Teachers Implement Digital Technologies in Practice. Informatics, Basel, v. 12, n. 3, 99, 2025.";2,02605E+13;New Prompt;Aleksieva et al. - 2025 - Talking Tech, Teaching with Tech How Primary Teachers Implement Digital Technologies in Practice.pdf_part_000;12000;gemini-3.1-flash-lite-preview;;
Digital platforms (e.g., Scratch, robotics, Minecraft Education Edition);Digital environments and platforms used for student-centred learning, collaborative projects, coding, and interactive simulation.;Teachers use digital tools... as a means for student-centred learning, where pupils create digital content, collaborate on projects, and engage in multimedia-based problem-solving.;"Coprodução de Valor Público; Automatização e IA";In the Bulgarian context, research highlights...;Bulgaria;;implementado em produção;Research by Zainil et al. (2022) highlights that STEM-based digital classroom models positively impact students’ development of 21st-century skills.;Enhancement of student engagement, creativity, motivation, and development of 21st-century skills such as computational thinking and problem-solving.;students’ active involvement;individual;pupils create digital content, collaborate on projects;Students act as active participants/co-creators of their own learning materials and digital content within the classroom.;;none;Informatics Journal;2025;Informatics 2025, 12, 99;Informatics 2025, 12, 99, 4-6;2,02605E+13;New Prompt;Aleksieva et al. - 2025 - Talking Tech, Teaching with Tech How Primary Teachers Implement Digital Technologies in Practice.pdf_part_001;12000;gemini-3.1-flash-lite-preview;;
TPACK Framework (Technological Pedagogical Content Knowledge);A framework for teacher training that emphasizes the interaction between content, pedagogy, and technology to transform educational environments.;emphasises the interaction between content, pedagogy, and technology in educational practices and has the potential to transform educational environments;"Governança Digital; Evolução de leis e normas";In the Bulgarian context, research highlights the need to develop digital... literacy;Bulgaria;;em desenvolvimento para produção;although the TPACK model is widely recognised in theory, its implementation in classroom settings remains limited;"Provides a theoretical structure to improve teacher pedagogy; potential for higher-quality educational outcomes if successfully implemented.";;nenhum;;nenhum;;none;Informatics Journal;2025;Informatics 2025, 12, 99;Informatics 2025, 12, 99, 4-6;2,02605E+13;New Prompt;Aleksieva et al. - 2025 - Talking Tech, Teaching with Tech How Primary Teachers Implement Digital Technologies in Practice.pdf_part_001;12000;gemini-3.1-flash-lite-preview;;
Digital Technology Impact Framework (DTIF);Analytical lens used to assess the depth and type of technology integration (support, extend, transform) in educational settings.;The Digital Technology Impact Framework (DTIF) [20] served as the analytical lens, providing a structure to assess the depth and type of technology integration (support, extend, transform).;"Governança Digital; Insights e Dados para Participação Cidadã";The study was conducted as part of a broader national research project focused on digital transformation in education—SUMMIT DigEdu-SU.;Bulgária;From this subsample, 44 primary teachers from 26 schools participated in the present study.;implementado em produção;Of these, 133 involved the use of digital technologies—demonstrating their substantial, though inconsistently applied, presence in everyday teaching.;Identified the prevalence of digital practices and explained why teachers adopt or avoid certain uses of digital technologies, providing a bridge between declared intentions and actual classroom practices.;The research follows the ethical guidelines of Sofia University “St. Kliment Ohridski” and complies with national and institutional regulations regarding academic research.;nenhum;None described in the context of policy co-production.;nenhum;None.;nenhum;Mizova et al.;2025;Informatics 2025, 12, 99;Mizova, et al. (2025). Informatics, 12(99), 7-10.;2,02605E+13;New Prompt;Aleksieva et al. - 2025 - Talking Tech, Teaching with Tech How Primary Teachers Implement Digital Technologies in Practice.pdf_part_002;12000;gemini-3.1-flash-lite-preview;;
